img,area,perimiter,compactness
ISIC_0012417,116377,1660,1.8842527354375298
ISIC_0012434,9019,424,1.586220149090175
ISIC_0012492,9135,433,1.6332677134842017
ISIC_0012513,34465,922,1.9627893608491334
ISIC_0012538,5367,360,1.9216024431441807
ISIC_0012547,11223,484,1.6610086585108719
ISIC_0012660,14290,608,2.0585672807250663
ISIC_0012684,34217,868,1.7522160599127359
ISIC_0012720,38970,980,1.961154828656098
ISIC_0012746,4956,346,1.9222551621458175
ISIC_0012876,2681,230,1.5701783829841969
ISIC_0012927,52260,1214,2.2441821518280043
ISIC_0012956,4691,302,1.5471719707688363
ISIC_0012959,9808,440,1.5707788021304516
ISIC_0012965,2058,206,1.6408890099727091
ISIC_0013010,4825,324,1.7313418969963528
ISIC_0013082,6116,350,1.5938914755360676
ISIC_0013104,20873,754,2.1674443450110665
ISIC_0013127,74966,1472,2.3000719273565973
ISIC_0013128,11280,520,1.9076018001794548
ISIC_0013132,6912,388,1.7332046985551428
ISIC_0013188,3692,272,1.594653210957582
ISIC_0013215,66682,1294,1.9982511494182902
ISIC_0013232,18548,706,2.1384664981386656
ISIC_0013421,36004,1002,2.2190895384406635
ISIC_0013491,15852,590,1.7474714764789543
ISIC_0013501,15872,592,1.7571219120387478
ISIC_0013518,91707,1726,2.5850516931446412
ISIC_0013527,1313,178,1.9202837840531652
ISIC_0013549,17789,634,1.798113561904713
ISIC_0013561,17308,610,1.7108144882278211
ISIC_0013562,13391,528,1.6567041914319673
ISIC_0013632,26721,754,1.6930902965239318
ISIC_0013637,15537,576,1.699291703651177
ISIC_0013644,21646,712,1.863684825620849
ISIC_0013651,82448,1379,1.83543303134227
ISIC_0013663,44478,1256,2.8224363989547214
ISIC_0013702,34920,884,1.7808216667929577
ISIC_0013736,27018,774,1.7644886129195407
ISIC_0013793,20444,722,2.0290776109057806
ISIC_0013828,75883,1174,1.4453793230692324
ISIC_0013863,2132,210,1.6460443223153343
ISIC_0013898,11503,502,1.7433574840880637
ISIC_0013945,5154,430,2.854845651696881
ISIC_0014037,72748,1295,1.8344615552227264
ISIC_0014038,21036,750,2.127891602234054
ISIC_0014055,79308,1356,1.844983629905049
ISIC_0014139,15863,578,1.6759478033131425
ISIC_0014162,6027,370,1.8075586286112886
ISIC_0014178,11302,526,1.948077908108885
ISIC_0014211,26397,772,1.7966776452566606
ISIC_0014212,124975,1119,0.7973099127701171
ISIC_0014217,85019,1582,2.342540466217673
ISIC_0014302,11413,550,2.109189971317723
ISIC_0014310,11604,484,1.6064719212743466
ISIC_0014382,53428,1164,2.018027960764362
ISIC_0014428,10289,460,1.636562637683208
ISIC_0014558,41021,1164,2.6283902851641434
ISIC_0014568,25652,716,1.5903581885568123
ISIC_0014572,14695,568,1.747097800615163
ISIC_0014597,3205,262,1.7043731534477478
ISIC_0014601,39029,912,1.6958693405804068
ISIC_0014608,42981,1036,1.9871613480463333
ISIC_0014610,9810,500,2.027968184147494
ISIC_0014611,55814,1071,1.6354072909939328
ISIC_0014616,9411,436,1.607412499309156
ISIC_0014618,11005,566,2.3165034506654805
ISIC_0014620,18884,632,1.6831789872256198
ISIC_0014623,103744,1658,2.108609697821893
ISIC_0014624,26571,824,2.0334648045004466
ISIC_0014633,5226,326,1.6182884359007148
ISIC_0014635,32971,916,2.0251116121881854
ISIC_0014637,15558,598,1.8291054206657071
ISIC_0014688,198476,2058,1.6981375994917831
ISIC_0014712,199629,1592,1.0103053005536706
ISIC_0014809,39360,960,1.8632773825392626
ISIC_0014829,21514,700,1.8124458983691718
ISIC_0014857,149907,1344,0.9588855199718554
ISIC_0014931,63619,1568,3.075356126348796
ISIC_0014937,179486,1456,0.9399014225022014
ISIC_0014945,12481,524,1.7506661186763983
ISIC_0014946,74256,1256,1.6905883181521777
ISIC_0014979,127043,1316,1.0848037401641866
ISIC_0014985,138466,1726,1.7120978119048402
ISIC_0014989,59187,1186,1.8911813939994222
ISIC_0015043,80261,1316,1.71710695807028
ISIC_0015062,228781,1111,0.42933698277420623
ISIC_0015124,97166,1542,1.9473524386408694
ISIC_0015144,23942,714,1.694439757924899
ISIC_0015211,114503,1663,1.922019409149585
ISIC_0015243,158835,1673,1.402283456773556
ISIC_0015256,204089,1464,0.8357044056982174
ISIC_0015313,149452,1672,1.4885415130898654
ISIC_0015372,191138,710,0.2098745587288358
ISIC_0015401,55252,1146,1.891521874698433
ISIC_0015443,80338,1258,1.5675824849964044
ISIC_0015445,98351,1895,2.905559574974192
ISIC_0015483,71601,1250,1.736565121863427
ISIC_0015496,72088,1238,1.6918756838872964
ISIC_0015627,26351,798,1.9230864935048257
